Muster,Replace,Regex,Match case,Bemerkung,Mehrmals
$\r\n^([^0-9]),$1,1,,Newlines weg,1
$\r\n^([0-9][0-9][0-9][0-9]),$1,1,,Newlines weg mit Jahreszahlen,1
"""",,,,manuell suchen,
"""(.*) *""",$1,1,,"""... "" weg",
ugs.,(ugs.),,,,
…,...,,,… mit ... ersetzen,
  , ,,,doppelte Leerzeichen,1
 $,,1,,Leerzeichen am Zeilenende weg,
’,',,,eine Art von Apostroph,
 ;,;,,,ggf. mehrmals,1
!!,!,,,ggf. mehrmals,1
??,?,,,ggf. mehrmals,1
,,,,,
;!([^;]*)\? +;,;[$1];,1,,Nur in Phonetik Spalte,
 \)(.*)\), \($1\),1,,""")...)"" korrigieren, mehrmals",
...,…,,,Auslassung einheitlich,
,,,,,
,,,,,
;\[(.*)4(.*)\];,;[($1)ɛ($2)];,1,1,4 -> ɛ,1
;\[(.*)5(.*)\];,;[($1)ɛ̃($2)];,1,1,5 -> ɛ̃,1
;\[(.*)6(.*)\];,;[($1)ʀ($2)];,1,1,6 -> ʀ,1
;\[(.*)Z(.*)\];,;[($1)ʒ($2)];,1,1,Z -> ʒ,1
;\[(.*)E(.*)\];,;[($1)ə($2)];,1,1,E -> ə,1
;\[(.*)C(.*)\];,;[($1)ɔ($2)];,1,1,C -> ɔ,1
;\[(.*)c(.*)\];,;[($1)ɔ̃($2)];,1,1,c -> ɔ̃,1
;\[(.*)S(.*)\];,;[($1)ʃ($2)];,1,1,S -> ʃ,1
;\[(.*)R(.*)\];,;[($1)ɑ͂($2)];,1,1,R -> ɑ͂,1
;\[(.*)G(.*)\];,;[($1)g($2)];,1,1,G -> g,1
;\[(.*)Q(.*)\];,;[($1)ø($2)];,1,1,Q -> ø,1
;\[(.*)q(.*)\];,;[($1)œ($2)];,1,1,q -> œ,1
;\[(.*)Y(.*)\];,;[($1)ɥ($2)];,1,1,Y -> ɥ ,1
;\[(.*)M(.*)\];,;[($1)ɲ($2)];,1,1,M -> ɲ,1
;\[(.*)N(.*)\];,;[($1)ɲ($2)];,1,1,N -> ɲ,1
