Muster,Replace,Regex,Match case,Bemerkung,Mehrmals
 +\((fam\.|inv\.|adv\.|ugs\.|fragepronomen|f\.|m\.|f\. pl\.|m\. pl\.|\+ nomen|betont|aufforderung|fragewort|am telefon|wenn man.*|franz.*tag|als.*fach|anrede|örtlich|sportart|musikstil|ein.*bezirk)\),,1,,(...) raus,
 +\((fam\.|inv\.|adv\.|ugs\.|fragepronomen||\+ nomen|betont|aufforderung|fragewort|am telefon|wenn man.*|franz.*tag|als.*fach|anrede|örtlich|sportart|musikstil|ein.*bezirk)\),,1,,(...) raus,
[\?|!],,1,,?! raus,
 ...,,,,... raus,
", ",,,,Manuell,
(ardon|ommage|moi|pas|affaires|froid|vent|beau|chaud|mauvais|pleut)\.,,1,,,
(gung|ja|ach|krise|schade|sie|bitte|nicht|sachen|kleines|wetter|regnet|kalt|heiß|windig)\.,,1,,,
,,,,,
(?!.*?(qn|ton|mon|son|il))/(?!.*?(qc|ta|ma|sa|elle)),$1|$2,1,,Mögliche Antworten,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
